replica,network,population,sigma,true_model,modelcompare,base_SS,RR
14,None,All,0.2,7,BIC,100,0.9889525368248773
15,None,All,0.2,7,BIC,100,0.9909443725743855
16,None,All,0.2,7,BIC,100,0.9883920894239037
17,None,All,0.2,7,BIC,100,0.9890877346137058
18,None,All,0.2,7,BIC,100,0.9877408056042032
19,None,All,0.2,7,BIC,100,0.9922145328719724
20,None,All,0.2,7,BIC,100,0.9884153909805544
21,None,All,0.2,7,BIC,100,0.9884664673216574
22,None,All,0.2,7,BIC,100,0.9906708129720124
23,None,All,0.2,7,BIC,100,0.9868131868131869
24,None,All,0.2,7,BIC,100,0.956628881222277
25,None,All,0.2,7,BIC,100,0.9932829554995802
26,None,All,0.2,7,BIC,100,0.9903198653198653
27,None,All,0.2,7,BIC,100,0.9848421052631579
28,None,All,0.2,7,BIC,100,0.9876379690949227
29,None,All,0.2,7,BIC,100,0.990979909799098
30,None,All,0.2,7,BIC,100,0.9870188003581021
31,None,All,0.2,7,BIC,100,0.9894869638351556
32,None,All,0.2,7,BIC,100,0.9908774978279756
33,None,All,0.2,7,BIC,100,0.9890387858347386
34,None,All,0.2,7,BIC,100,0.9882005899705014
35,None,All,0.2,7,BIC,100,0.9905619905619906
36,None,All,0.2,7,BIC,100,0.6026422764227642
37,None,All,0.2,7,BIC,100,0.9879410451094238
38,None,All,0.2,7,BIC,100,0.9859215017064846
39,None,All,0.2,7,BIC,100,0.9889408762228838
40,None,All,0.2,7,BIC,100,0.9857079053148727
41,None,All,0.2,7,BIC,100,0.9864750633981403
42,None,All,0.2,7,BIC,100,0.9892384105960265
43,None,All,0.2,7,BIC,100,0.9813610749891634
44,None,All,0.2,7,BIC,100,0.9926502377864246
45,None,All,0.2,7,BIC,100,0.9891162385720506
46,None,All,0.2,7,BIC,100,0.9905498281786942
47,None,All,0.2,7,BIC,100,0.9868361325465275
48,None,All,0.2,7,BIC,100,0.9898477157360406
49,None,All,0.2,7,BIC,100,0.9834566826295168
50,None,All,0.2,7,BIC,100,0.2899786780383795
1,None,All,0.2,13,BIC,20,0.9771748492678726
2,None,All,0.2,13,BIC,20,0.8854092526690391
3,None,All,0.2,13,BIC,20,0.9774179804005113
