replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,245,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,246,All,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,247,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,248,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,249,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,250,All,0.2,None,100,2,5,1,9,0,2,1,2,1,1
1,251,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,252,All,0.2,None,100,2,5,4,14,0,2,1,2,1,0
1,253,All,0.2,None,100,2,5,1,14,0,2,1,2,1,1
1,254,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,255,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,256,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,257,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,258,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,259,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,260,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,261,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,262,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,263,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,264,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,265,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,266,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,267,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,268,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,269,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,270,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,271,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,272,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,273,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,274,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,275,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,276,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,277,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
