orig_type,old_model,selected_model,count
Tess,13,6,1
Tess,14,5,132
Tess,14,6,234
Tess,14,14,114
Tess,1,2,522
Tess,1,3,571
Tess,2,1,3
Tess,2,2,2
Tess,3,1,2
Tess,3,4,1
Tess,5,1,101
Tess,5,5,64
Tess,5,7,48
Tess,6,1,111
Tess,6,6,44
Tess,6,8,38
Tess,7,3,1
Tess,9,3,1
Tess,10,6,1
Tess,11,5,2
Tess,11,11,3
Tess,12,2,3
Tess,13,5,5
Tess,13,6,1
Tess,13,13,3
Tess,14,5,19
Tess,14,6,42
Tess,14,14,21
Tess,1,2,506
Tess,1,3,523
Tess,2,1,11
Tess,2,2,5
Tess,2,4,10
Tess,3,1,2
Tess,3,3,3
Tess,3,4,1
Tess,4,3,3
Tess,4,4,1
Tess,5,1,213
Tess,5,5,118
Tess,5,7,98
Tess,6,1,53
Tess,6,6,39
Tess,6,8,30
Tess,8,2,2
Tess,8,6,3
Tess,9,2,1
Tess,9,3,5
Tess,9,9,1
Tess,10,5,1
Tess,10,6,4
Tess,10,10,3
Tess,11,3,3
Tess,11,5,1
Tess,11,11,3
Tess,12,2,2
Tess,12,6,1
Tess,12,12,2
Tess,13,5,4
Tess,13,6,8
Tess,13,13,1
Tess,14,5,13
Tess,14,6,42
Tess,14,14,16
Tess,1,2,487
Tess,1,3,482
Tess,2,1,2
Tess,2,2,1
Tess,3,1,6
Tess,3,3,4
Tess,3,4,6
Tess,4,2,1
Tess,4,3,1
Tess,4,4,1
Tess,5,1,146
Tess,5,5,75
Tess,5,7,93
Tess,6,1,135
Tess,6,6,53
Tess,6,8,59
Tess,7,3,2
Tess,7,5,2
Tess,7,7,4
Tess,8,2,1
Tess,8,6,1
Tess,9,3,1
Tess,9,9,1
Tess,10,5,3
Tess,10,6,4
Tess,10,10,3
Tess,11,3,1
Tess,11,11,2
Tess,12,12,2
Tess,13,5,3
Tess,13,6,5
Tess,13,13,1
Tess,14,5,19
Tess,14,6,52
Tess,14,14,23
Tess,10,5,2
Tess,10,6,3
Tess,12,2,10
Tess,12,6,21
Tess,12,12,9
Tess,13,5,340
Tess,13,6,622
Tess,13,13,323
Tess,14,5,74
Tess,14,6,153
Tess,14,14,52
Tess,2,1,316
Tess,2,2,158
Tess,2,4,165
Tess,4,2,70
Tess,4,3,143
Tess,4,4,71
Tess,5,1,142
Tess,5,5,60
Tess,5,7,61
Tess,7,3,38
Tess,7,5,21
Tess,7,7,41
Tess,8,2,18
Tess,8,6,60
Tess,8,8,21
Tess,9,2,33
Tess,9,3,58
Tess,9,9,27
Tess,10,5,12
Tess,10,6,25
Tess,10,10,19
Tess,11,3,27
Tess,11,5,23
Tess,11,11,17
Tess,12,2,18
Tess,12,6,18
Tess,12,12,16
Tess,13,5,9
Tess,13,6,17
Tess,13,13,5
Tess,14,5,4
Tess,14,6,12
Tess,14,14,7
Tess,4,2,6
Tess,4,3,9
Tess,4,4,4
Tess,5,1,3
Tess,5,5,2
Tess,5,7,5
Tess,7,3,460
Tess,7,5,225
Tess,7,7,208
Tess,8,2,1
Tess,8,6,7
Tess,8,8,1
Tess,9,3,4
Tess,9,9,3
Tess,10,5,68
Tess,10,6,123
Tess,10,10,76
Tess,11,3,141
Tess,11,5,78
Tess,11,11,68
Tess,12,2,2
Tess,12,6,1
Tess,12,12,1
Tess,13,5,18
Tess,13,6,61
Tess,13,13,37
Tess,14,5,18
Tess,14,6,35
Tess,14,14,17
Tess,10,5,8
Tess,10,6,18
Tess,10,10,4
Tess,12,2,12
Tess,12,6,34
Tess,12,12,18
Tess,13,5,362
Tess,13,6,720
Tess,13,13,360
Tess,14,5,16
Tess,14,6,42
Tess,14,14,15
Tess,2,1,759
Tess,2,2,371
Tess,2,4,379
Tess,4,2,18
Tess,4,3,47
Tess,4,4,22
Tess,5,1,42
Tess,5,5,20
Tess,5,7,26
Tess,7,3,8
Tess,7,5,3
Tess,7,7,2
Tess,8,2,2
Tess,8,6,8
Tess,8,8,4
Tess,9,2,4
Tess,9,3,10
Tess,9,9,2
Tess,10,6,1
Tess,10,10,1
Tess,12,6,1
Tess,12,12,1
Tess,13,5,1
Tess,2,1,1
Tess,4,2,15
Tess,4,3,18
Tess,4,4,10
Tess,5,1,17
Tess,5,5,9
Tess,5,7,10
Tess,7,3,701
Tess,7,5,372
Tess,7,7,350
Tess,8,2,1
Tess,8,8,1
Tess,9,2,1
Tess,9,3,5
Tess,9,9,1
Tess,10,5,17
Tess,10,6,31
Tess,10,10,27
Tess,11,3,36
Tess,11,5,18
Tess,11,11,16
Tess,12,6,2
Tess,13,5,1
Tess,13,6,13
Tess,13,13,5
Tess,14,5,2
Tess,14,6,2
Tess,4,2,1
Tess,4,3,5
Tess,5,1,5
Tess,6,1,1
Tess,6,6,2
Tess,6,8,1
Tess,7,3,17
Tess,7,5,5
Tess,7,7,5
Tess,8,2,2
Tess,8,6,10
Tess,8,8,1
Tess,9,2,5
Tess,9,3,9
Tess,9,9,3
Tess,10,5,31
Tess,10,6,68
Tess,10,10,29
Tess,11,3,64
Tess,11,5,33
Tess,11,11,37
Tess,12,2,53
Tess,12,6,89
Tess,12,12,42
Tess,13,5,214
Tess,13,6,398
Tess,13,13,222
Tess,14,5,62
Tess,14,6,143
Tess,14,14,52
Tess,1,2,6
Tess,1,3,6
Tess,2,1,304
Tess,2,2,159
Tess,2,4,166
Tess,3,1,2
Tess,3,3,1
Tess,3,4,1
Tess,4,2,69
Tess,4,3,137
Tess,4,4,68
Tess,5,1,140
Tess,5,5,61
Tess,5,7,61
Tess,6,1,3
Tess,6,8,1
Tess,7,3,40
Tess,7,5,21
Tess,7,7,38
Tess,8,2,19
Tess,8,6,57
Tess,8,8,23
Tess,9,2,33
Tess,9,3,60
Tess,9,9,29
Tess,10,5,11
Tess,10,6,23
Tess,10,10,20
Tess,11,3,27
Tess,11,5,22
Tess,11,11,16
Tess,12,2,18
Tess,12,6,18
