replica,network,population,true_model,sigma,net_size,colab_cond,TAT
10,Lattice,All,7,0.2,413,NOLAB,0.771598295732757
11,Lattice,All,7,0.2,413,NOLAB,0.817846342907523
12,Lattice,All,7,0.2,413,NOLAB,0.7972556341649667
13,Lattice,All,7,0.2,413,NOLAB,0.8215011793403679
14,Lattice,All,7,0.2,413,NOLAB,0.7938840079180546
15,Lattice,All,7,0.2,413,NOLAB,0.7892420660866066
16,Lattice,All,7,0.2,413,NOLAB,0.8008279439997315
17,Lattice,All,7,0.2,413,NOLAB,0.7821932925498387
18,Lattice,All,7,0.2,413,NOLAB,0.8067163949715556
19,Lattice,All,7,0.2,413,NOLAB,0.7962242396881366
20,Lattice,All,7,0.2,413,NOLAB,0.8233604096913155
21,Lattice,All,7,0.2,413,NOLAB,0.8233116920162051
22,Lattice,All,7,0.2,413,NOLAB,0.8025136687705421
23,Lattice,All,7,0.2,413,NOLAB,0.8038849770084637
24,Lattice,All,7,0.2,413,NOLAB,0.8008360401118162
25,Lattice,All,7,0.2,413,NOLAB,0.8211771038149324
26,Lattice,All,7,0.2,413,NOLAB,0.8259097684141519
27,Lattice,All,7,0.2,413,NOLAB,0.8042963015087592
28,Lattice,All,7,0.2,413,NOLAB,0.8212603219999164
29,Lattice,All,7,0.2,413,NOLAB,0.7882123528045486
30,Lattice,All,7,0.2,413,NOLAB,0.7803142561921127
31,Lattice,All,7,0.2,413,NOLAB,0.8052913160565451
32,Lattice,All,7,0.2,413,NOLAB,0.79917059562878
33,Lattice,All,7,0.2,413,NOLAB,0.8084113713925927
34,Lattice,All,7,0.2,413,NOLAB,0.7890684858994325
35,Lattice,All,7,0.2,413,NOLAB,0.7930138273359998
36,Lattice,All,7,0.2,413,NOLAB,0.7869174223361661
37,Lattice,All,7,0.2,413,NOLAB,0.8039008445827237
38,Lattice,All,7,0.2,413,NOLAB,0.8219773546557111
39,Lattice,All,7,0.2,413,NOLAB,0.8202044041405471
40,Lattice,All,7,0.2,413,NOLAB,0.8074549992203374
41,Lattice,All,7,0.2,413,NOLAB,0.7962356952226585
42,Lattice,All,7,0.2,413,NOLAB,0.8106185934411826
43,Lattice,All,7,0.2,413,NOLAB,0.8018370507739662
44,Lattice,All,7,0.2,413,NOLAB,0.8139804709616419
45,Lattice,All,7,0.2,413,NOLAB,0.7946108226962415
46,Lattice,All,7,0.2,413,NOLAB,0.8107597585733453
47,Lattice,All,7,0.2,413,NOLAB,0.8018021394059033
48,Lattice,All,7,0.2,413,NOLAB,0.8050900556475936
49,Lattice,All,7,0.2,413,NOLAB,0.8005341084085953
50,Lattice,All,7,0.2,413,NOLAB,0.7914617393560477
1,Lattice,All,13,0.2,484,COLAB,0.8281384677787355
2,Lattice,All,13,0.2,484,COLAB,0.8104406752600523
3,Lattice,All,13,0.2,484,COLAB,0.8321967835604199
4,Lattice,All,13,0.2,484,COLAB,0.8204833141542002
5,Lattice,All,13,0.2,484,COLAB,0.8310972558085975
6,Lattice,All,13,0.2,484,COLAB,0.8385422382427675
7,Lattice,All,13,0.2,484,COLAB,0.8224402807653118
8,Lattice,All,13,0.2,484,COLAB,0.8408207815592846
9,Lattice,All,13,0.2,484,COLAB,0.8328848481875923
10,Lattice,All,13,0.2,484,COLAB,0.8280770778231418
11,Lattice,All,13,0.2,484,COLAB,0.8253050994066079
12,Lattice,All,13,0.2,484,COLAB,0.8551677733472154
13,Lattice,All,13,0.2,484,COLAB,0.8159623884431322
14,Lattice,All,13,0.2,484,COLAB,0.8184869223958458
15,Lattice,All,13,0.2,484,COLAB,0.8244200603708107
16,Lattice,All,13,0.2,484,COLAB,0.817067350880345
17,Lattice,All,13,0.2,484,COLAB,0.8341075528007346
