replica,sigma,population,network,true_model,net_size,colab_cond,stickiness_agent,stickiness_switch,stickiness_overall
16,0.2,All,Lattice,7,413,NOLAB,0.9152647975077881,0.8205445544554455,0.8835474513054289
17,0.2,All,Lattice,7,413,NOLAB,0.9152249134948097,0.7980017376194614,0.876263355472134
18,0.2,All,Lattice,7,413,NOLAB,0.9326961369972122,0.8025812619502868,0.8944335113859995
19,0.2,All,Lattice,7,413,NOLAB,0.9171683620510691,0.8237082066869301,0.886938202247191
20,0.2,All,Lattice,7,413,NOLAB,0.9241919686581782,0.8126672613737734,0.8901592486729277
21,0.2,All,Lattice,7,413,NOLAB,0.9301692277766971,0.7943752881512218,0.8898768809849521
22,0.2,All,Lattice,7,413,NOLAB,0.9141767323585506,0.7998338870431894,0.8755437070296057
23,0.2,All,Lattice,7,413,NOLAB,0.9195854922279793,0.8197074010327022,0.8871170793117918
24,0.2,All,Lattice,7,413,NOLAB,0.9206153846153846,0.8054101221640488,0.8837728477745221
25,0.2,All,Lattice,7,413,NOLAB,0.9268778641163579,0.8010610079575597,0.8877901387172091
26,0.2,All,Lattice,7,413,NOLAB,0.9272023233301065,0.8097826086956521,0.8920385189203852
27,0.2,All,Lattice,7,413,NOLAB,0.9216371863430687,0.7910899653979239,0.8795650961806524
28,0.2,All,Lattice,7,413,NOLAB,0.9272798742138365,0.7835517397198373,0.8837145596493631
29,0.2,All,Lattice,7,413,NOLAB,0.9217736875130725,0.8258527827648114,0.8912826366100728
30,0.2,All,Lattice,7,413,NOLAB,0.9176216216216216,0.8044619422572179,0.8801909998553031
