replica,network,population,true_model,sigma,net_size,colab_cond,TAT50
26,Lattice,All,2,0.2,484,COLAB,0.9350728155339806
27,Lattice,All,2,0.2,484,COLAB,0.9101607347876005
28,Lattice,All,2,0.2,484,COLAB,0.9279673374161563
29,Lattice,All,2,0.2,484,COLAB,0.9161290322580645
30,Lattice,All,2,0.2,484,COLAB,0.9325513196480938
31,Lattice,All,2,0.2,484,COLAB,0.9457540471456972
32,Lattice,All,2,0.2,484,COLAB,0.9348214285714286
33,Lattice,All,2,0.2,484,COLAB,0.9159318048206937
34,Lattice,All,2,0.2,484,COLAB,0.9181483752299203
35,Lattice,All,2,0.2,484,COLAB,0.9248470725313137
36,Lattice,All,2,0.2,484,COLAB,0.9432791728212703
37,Lattice,All,2,0.2,484,COLAB,0.9174637879201968
38,Lattice,All,2,0.2,484,COLAB,0.9317912218268091
39,Lattice,All,2,0.2,484,COLAB,0.9111377964575202
40,Lattice,All,2,0.2,484,COLAB,0.9047761194029851
41,Lattice,All,2,0.2,484,COLAB,0.9248434237995825
42,Lattice,All,2,0.2,484,COLAB,0.9340659340659341
