replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
31,Lattice,All,2,0.2,413,NOLAB,0.8382213212620783,0.9493111073311787
32,Lattice,All,2,0.2,413,NOLAB,0.83091615677902,0.9502294387575009
33,Lattice,All,2,0.2,413,NOLAB,0.8409438013871664,0.9337737127371274
34,Lattice,All,2,0.2,413,NOLAB,0.8168067032811583,0.9390223130642139
35,Lattice,All,2,0.2,413,NOLAB,0.8332396137294613,0.9502470608280797
36,Lattice,All,2,0.2,413,NOLAB,0.797276412443578,0.922237860661506
37,Lattice,All,2,0.2,413,NOLAB,0.8211604421900669,0.9344749257382492
38,Lattice,All,2,0.2,413,NOLAB,0.8352866820607583,0.9504032950060065
39,Lattice,All,2,0.2,413,NOLAB,0.8280485336518071,0.9386056191467221
40,Lattice,All,2,0.2,413,NOLAB,0.8172238476942343,0.9325842696629213
41,Lattice,All,2,0.2,413,NOLAB,0.8180121014471852,0.9453398738612474
42,Lattice,All,2,0.2,413,NOLAB,0.8037814736897815,0.9102767495152476
43,Lattice,All,2,0.2,413,NOLAB,0.8298792765348325,0.9378336490442569
44,Lattice,All,2,0.2,413,NOLAB,0.8302819542174358,0.9533987386124737
45,Lattice,All,2,0.2,413,NOLAB,0.8243774879080086,0.9406110538963268
46,Lattice,All,2,0.2,413,NOLAB,0.8267723014450573,0.9480765913403485
47,Lattice,All,2,0.2,413,NOLAB,0.8214493357320144,0.9296534912066864
48,Lattice,All,2,0.2,413,NOLAB,0.8384473159723937,0.9630952380952381
49,Lattice,All,2,0.2,413,NOLAB,0.8260196503367864,0.9454638998456526
50,Lattice,All,2,0.2,413,NOLAB,0.8301195577531127,0.9454327745466986
1,Lattice,All,7,0.2,413,COLAB,0.781526243963685,0.8957055214723927
2,Lattice,All,7,0.2,413,COLAB,0.7965137348698993,0.9188229325215627
3,Lattice,All,7,0.2,413,COLAB,0.8047187195371215,0.8955844155844156
4,Lattice,All,7,0.2,413,COLAB,0.7971513588722288,0.9035833977829337
5,Lattice,All,7,0.2,413,COLAB,0.75143034071957715,0.8638700947225981
6,Lattice,All,7,0.2,413,COLAB,0.770119478911738,0.8592910848549946
7,Lattice,All,7,0.2,413,COLAB,0.8023089340038493,0.91
8,Lattice,All,7,0.2,413,COLAB,0.7724938992196821,0.8599460387539858
9,Lattice,All,7,0.2,413,COLAB,0.7784931435840972,0.8576218725818933
10,Lattice,All,7,0.2,413,COLAB,0.7896484411659815,0.8713178294573644
11,Lattice,All,7,0.2,413,COLAB,0.7729264820039476,0.8861641713990708
